קטגוריה,מוצר,יחידות/כמות,מחיר (₪),אופציות/הערות,מרכיבים
כריכונים,מיני קרואסנדוויץ׳,16 יח׳,168,ניתן לשלב 2 סוגים במגש,"גאודה | מלפפון, עגבניה, עלים; סלט ביצים | חמוצים, עגבניה, עלים"
כריכונים,כריכונים בלחם כוסמין פרוס,18 יח׳,190,ניתן לשלב 2 סוגים במגש,"טונה | ביצה, מלפפון, עגבניה, עלים; סלט ביצים | חמוצים, עגבניה, עלים; אנטיפסטי & בולגרית | פסטו, בטטה, סלק, שמן זית, זעתר; חציל וביצה | חמוצים, עגבניה, טחינה, פטרוזיליה; חביתה | שמנת, חמוצים, עגבניה, עלים"
כריכונים,כריכונים במיני בריוש,12 יח׳,150,ניתן לשלב 2 סוגים במגש,"טונה | ביצה, מלפפון, עגבניה, עלים; סלט ביצים | חמוצים, עגבניה, עלים; אנטיפסטי & בולגרית | פסטו, בטטה, סלק, שמן זית, זעתר; חציל וביצה | חמוצים, עגבניה, טחינה, פטרוזיליה; חביתה | שמנת, חמוצים, עגבניה, עלים"
כריכונים,כריכונים בפרעצל,12 יח׳,162,ניתן לשלב 2 סוגים במגש,"טונה | ביצה, מלפפון, עגבניה, עלים; סלט ביצים | חמוצים, עגבניה, עלים; אנטיפסטי & בולגרית | פסטו, בטטה, סלק, שמן זית, זעתר; חציל וביצה | חמוצים, עגבניה, טחינה, פטרוזיליה; חביתה | שמנת, חמוצים, עגבניה, עלים"
כריכונים - פרימיום,כריכונים פרימיום בפרעצל,12 יח׳,210,ניתן לשלב 2 סוגים במגש,"קפרזה | פסטו, מוצרלה, עגבניה, בלסמי; סלמון | שמנת, שרי, צנונית, בצל ירוק; אבוקדו (בעונה) | איולי קיסר, ביצה, מלפפון, עגבניה, עלים"
כריכונים - פרימיום,כריכונים פרימיום במיני פרעצל,12 יח׳,220,ניתן לשלב 2 סוגים במגש,"חלומי | שמנת, עגבניה, מלפפון חמוץ, עלים"
כריכונים,כריכונים בייגל אמריקאי חצוי,12 יח׳,180,ניתן לשלב 2 סוגים במגש; סלמון (+42) כאופציה,"גאודה | חמאה, מלפפון, עגבניה, עלים; סלט ביצים | חמוצים, עגבניה, עלים; סלמון | שמנת, שרי, צנונית, בצל ירוק"
כריכונים - פרימיום,כריכונים בייגל אמריקאי חצוי פרימיום,12 יח׳,220,,
מגשים,לחמים ומטבל,,98,ניתן לשלב 3 סוגי לחמים,"שיפון, אגוזים, זיתים, אגוזים וצימוקים, דגנים, כוסמין; מטבל משתנה"
מגשים,ירקות אנטיפסטי,,145,,"חצילים, בטטה, בצל סגול, זוקיני, פלפל אדום, עגבניות שרי"
מגשים,ירקות טריים,,120,,"מלפפון, פלפלים צבעוניים, גזר, עגבניות שרי, צנונית, זיתי קלמטה, בזיליקום"
סלטים גדולים,בולגרית,קערה גדולה,135,,"תערובת חסות, מלפפון, עגבניות שרי, זיתי קלמטה, בצל סגול, נענע, שמן זית, זעתר, קרוטונים"
סלטים גדולים,מוצרלה,קערה גדולה,145,,"חסות ועלים, עגבניות שרי, זיתי קלמטה, בזיליקום, תפוז, אגוזי מלך, בלסמי מצומצם"
סלטים גדולים,קיסר,קערה גדולה,145,,"חסה קיסר, עגבניות שרי, ביצה, שבבי פרמזן, קרוטונים, רוטב קיסר"
סלטים גדולים,קינואה ועדשים,קערה גדולה,155,,"תערובת חסות, קוביות בטטה, עגבניות שרי, עדשים, קינואה, שקדים קלויים, רוטב אסיאתי"
סלטים גדולים,פסטה,קערה גדולה,155,,"תערובת חסות, עגבניות שרי, פלפל קלוי, קוביות בטטה, גבינת פטה, שמן זית לימון"
סלטים גדולים,טונה,קערה גדולה,155,,"תערובת חסות, עגבניות שרי, מלפפון, סלט טונה, ביצה קשה, זיתי קלמטה, שמן זית לימון"
סלטים גדולים,קפרזה,קערה גדולה,155,,"תערובת חסות, עגבניות שרי, בצל סגול, בייבי מוצרלה, שמן זית לימון, חומץ בלסמי מצומצם"
סלטים גדולים,חלומי,קערה גדולה,155,,"תערובת חסות, עגבניות שרי, מלפפון, בצל סגול, קוביות בטטה, זיתי קלמטה, חלומי, פטה, שמן זית לימון, זעתר"
סלטים גדולים,נבטים אסיאתי,קערה גדולה,155,,"רצועות כרוב וגזר, אטריות, שעועית, נבטים, נענע, כוסברה, פקאן, בוטנים, קשיו, שומשום, קצח, רוטב אסיאתי"
מאפים מלוחים,מאפים מלוחים (36 יח׳),36 יח׳,129,,"גבינה / תפו""א / פטריות / פריך גבינה / פריך תרד וגבינה / פיצה"
מאפים מלוחים,מאפים מלוחים (28–34 יח׳),28–34 יח׳,125,,
מאפים מתוקים,מיקס מאפים מתוקים (20–24 יח׳),20–24 יח׳,125,,
מאפים מתוקים,מאפים מתוקים (20–24 יח׳),20–24 יח׳,95,,רוגלך / גביניות / קרואסון חמאה / קרואסון שוקולד / קרואסון קינמון
מאפים מתוקים,מגש רוגלך שוקולד הבית,32–34 יח׳,95,,
מאפים מתוקים - פרימיום,מגש רוגלך הבית פרימיום,40–45 יח׳,198,,שוקולד / קינמון / פיסטוק שוקולד לבן / שוקולד / חלווה / שוקולד חלווה / שקדים / פיסטוק / גבינה
עוגות שמרים,עוגות שמרים,,108,ניתן לשלב 2 סוגים,שוקולד / חלווה
רולדות,רולדות פרסבורגר,,125,ניתן לשלב 2 סוגים,פרסבורגר / גבינת ריקוטה
עוגות בחושות,בחושות,,105,ניתן לשלב 2 סוגים,שוקולד / תפוז / גזר אגוזים / שיש / לימון / אוכמניות / בננה אגוזים (טבעונית)
עוגיות,עוגיות מתוקות,,139,,ריבה / שוקולד / אלפחורס / ביסקוטי
עוגיות,עוגיות מלוחות,,95,,
קינוחים,בראוניז וכדורי שוקולד,,142,20 יח׳ כדורים / 12 קוביות בראוניז,
קינוחים,כוסות מוזלי,12 יח׳,159,,"פירות טריים וסילאן / פירות יער, גרנולה בנפרד"
מגשים,פירות העונה,,195,,
מגשים,גבינות,,245,,בולגרית / גאודה / קממבר / עיזים מתובל בזעתר / ענבים / אגוזי מלך
